Site_ID,medium_cd,site_no,Piez_Nest,Site_name,sample_dt,Date_Analyzed,coll_ent_cd,remark_cd,result_va,result_va_meq,meth_cd,rpt_lev_va,anl_ent_cd,parameter_nm,srsname,parameter_units,Source,Sample.area.or.well.piezometer.Unit.Formation.of.Screened.Interval,Latitude,Latitude_Datum,Longitude,LandSurfaceElevation_ft..NAVD88,Well_Depth_ft..BLS,Top.of.Sample_ftBLS,Bottom.of.Sample_ftBLS,MeanSampleDepth_ftBLS
MW-01,WG,4.65652E+14,HFC_1,HFC,9/11/2017,20171006,USGS,NA,1.52,0.038974359,PLO03,0.1,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Surficial aquifer,"46°56'52.45""",NAD83,"94°39'47.79""",1453.54,85,80,85,82.5
Olivia-4,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,2.28,0.058461538,PLO03,0.1,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Buried aquifer,"44°46'29.65""",NAD83,"95°00'21.65""",1071,238,204,228,216
Olivia-5,WG,4.44639E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,2.57,0.065897436,PLO03,0.1,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Buried aquifer,"44°46'39.47""",NAD83,"95°00'21.78""",1075.01,226,228,238,233
OT-105,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171122,USGS,NA,3.68,0.094358974,PLO03,0.1,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"44°46'30.64""",NAD83,"95°00'21.74""",1071.61,105.1,101.95,104.94,103.445
OT-13,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,0.41,0.010512821,PLO03,0.1,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Surficial aquifer,"44°46'30.34""",NAD83,"95°00'21.43""",1070.51,13.15,7.89,13.03,10.46
OT-145,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171122,USGS,NA,1.92,0.049230769,PLO03,0.1,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"44°46'30.53""",NAD83,"95°00'21.75""",1071.44,144.26,141.15,144.13,142.64
OT-175,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171122,USGS,NA,1.73,0.044358974,PLO03,0.1,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1071.46,175.39,172.26,175.26,173.76
OT-20,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,4.7,0.120512821,PLO03,0.1,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1070.75,20.17,17.44,19.91,18.675
OT-60,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,3.41,0.087435897,PLO03,0.1,USGSNWQL,Potassium_ water_ filtered_ milligrams per liter,Potassium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1070.67,59.91,56.74,59.77,58.255
CWO1-A,WG,4.6411E+14,CW_1,Cromwell,5/13/2016,20160622,USGS,NA,7.84,0.340869565,PLA11,0.06,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"46°41'10""",NAD83,"92°53'14""",1326.28,147.97,144.56,147.36,145.96
CWO1-B,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,20160622,USGS,NA,6.96,0.302608696,PLA11,0.06,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Confined Aquifer,"46°41'10""",NAD83,"92°53'14""",1326.29,230.87,220.91,230.53,225.72
CWO1-C,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,20160622,USGS,NA,12.9,0.560869565,PLA11,0.06,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Bedrock Aquifer / Thomson Formation,"46°41'10""",NAD83,"92°53'14""",1326.25,339.59,329.63,339.25,334.44
CWO2-A,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160622,USGS,NA,23.9,1.039130435,PLA11,0.06,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Semi-Confined Aquifer,"46°41'12""",NAD83,"92°53'14""",1332.28,35.17,32.3,34.96,33.63
CWO2-B,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,20160622,USGS,NA,61.8,2.686956522,PLA11,0.06,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.59,59.62,56.75,59.41,58.08
CWO2-C,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,20160622,USGS,NA,17,0.739130435,PLA11,0.06,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.33,81.57,78.7,81.36,80.03
CWO2-D,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160622,USGS,NA,5.89,0.256086957,PLA11,0.06,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.13,106.45,103.58,106.24,104.91
CWO2-E,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160622,USGS,NA,45.9,1.995652174,PLA11,0.06,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.44,128.65,125.78,128.44,127.11
HB-3,WG,4.65652E+14,HFC_1,HFC,9/11/2017,20171006,USGS,NA,4.19,0.182173913,PLA11,0.1,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Buried aquifer,"46°56'52.84""",NAD83,"94°39'47.2""",1453.03,223.66,213.33,223.53,218.43
HT-115,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171006,USGS,NA,4.57,0.198695652,PLA11,0.1,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"46°56'52.81""",NAD83,"94°39'47.97""",1452,115.02,112.35,114.83,113.59
HT-140,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171006,USGS,NA,96,4.173913043,PLA11,0.1,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"46°56'52.79""",NAD83,"94°39'47.84""",1452.39,140.44,137.77,140.25,139.01
HT-175,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171007,USGS,NA,19.6,0.852173913,PLA11,0.1,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"46°56'52.89""",NAD83,"94°39'47.87""",1452.04,175.14,172.47,174.95,173.71
HT-200,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20171007,USGS,NA,7.04,0.306086957,PLA11,0.1,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"46°56'52.9""",NAD83,"94°39'48.01""",1452.04,197.89,195.22,197.7,196.46
LFO2-A,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160621,USGS,NA,53.7,2.334782609,PLA11,0.06,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Semi-Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.45,19.99,17.12,19.78,18.45
LFO2-B,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160621,USGS,NA,34.7,1.508695652,PLA11,0.06,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.29,35.13,32.26,34.92,33.59
LFO2-C,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160621,USGS,NA,86.5,3.760869565,PLA11,0.06,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.72,59.84,56.97,59.63,58.3
LFO2-D,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160615,USGS,NA,84.9,3.691304348,PLA11,0.06,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.18,85.14,82.27,84.93,83.6
LFO2-E,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160615,USGS,NA,129,5.608695652,PLA11,0.06,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.64,113.82,110.95,113.61,112.28
LFO2-F,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160615,USGS,NA,9.91,0.430869565,PLA11,0.06,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.47,162.42,149.56,159.18,154.37
MW-01,WG,4.65652E+14,HFC_1,HFC,9/11/2017,20171006,USGS,NA,2.62,0.113913043,PLA11,0.1,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Surficial aquifer,"46°56'52.45""",NAD83,"94°39'47.79""",1453.54,85,80,85,82.5
Olivia-4,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,94.9,4.126086957,PLA11,0.1,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Buried aquifer,"44°46'29.65""",NAD83,"95°00'21.65""",1071,238,204,228,216
Olivia-5,WG,4.44639E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,81.9,3.560869565,PLA11,0.1,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Buried aquifer,"44°46'39.47""",NAD83,"95°00'21.78""",1075.01,226,228,238,233
OT-105,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171122,USGS,NA,66.8,2.904347826,PLA11,0.1,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"44°46'30.64""",NAD83,"95°00'21.74""",1071.61,105.1,101.95,104.94,103.445
OT-13,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,14.7,0.639130435,PLA11,0.1,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Surficial aquifer,"44°46'30.34""",NAD83,"95°00'21.43""",1070.51,13.15,7.89,13.03,10.46
OT-145,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171122,USGS,NA,107,4.652173913,PLA11,0.1,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"44°46'30.53""",NAD83,"95°00'21.75""",1071.44,144.26,141.15,144.13,142.64
OT-175,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171122,USGS,NA,87.8,3.817391304,PLA11,0.1,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1071.46,175.39,172.26,175.26,173.76
OT-20,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,26.4,1.147826087,PLA11,0.1,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1070.75,20.17,17.44,19.91,18.675
OT-60,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171117,USGS,NA,131,5.695652174,PLA11,0.1,USGSNWQL,Sodium_ water_ filtered_ milligrams per liter,Sodium,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1070.67,59.91,56.74,59.77,58.255
CWO1-A,WG,4.6411E+14,CW_1,Cromwell,5/13/2016,20160526,USGS,NA,2.96,0.061666667,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"46°41'10""",NAD83,"92°53'14""",1326.28,147.97,144.56,147.36,145.96
CWO1-B,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,20160526,USGS,NA,0.63,0.013125,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Confined Aquifer,"46°41'10""",NAD83,"92°53'14""",1326.29,230.87,220.91,230.53,225.72
CWO1-C,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,20160526,USGS,NA,1.15,0.023958333,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Bedrock Aquifer / Thomson Formation,"46°41'10""",NAD83,"92°53'14""",1326.25,339.59,329.63,339.25,334.44
CWO2-A,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160526,USGS,NA,11.7,0.24375,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Semi-Confined Aquifer,"46°41'12""",NAD83,"92°53'14""",1332.28,35.17,32.3,34.96,33.63
CWO2-B,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,20160526,USGS,NA,55.3,1.152083333,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.59,59.62,56.75,59.41,58.08
CWO2-C,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,20160526,USGS,NA,10.2,0.2125,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.33,81.57,78.7,81.36,80.03
CWO2-D,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160526,USGS,NA,0.33,0.006875,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.13,106.45,103.58,106.24,104.91
CWO2-E,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,20160526,USGS,NA,76.7,1.597916667,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"46°41'12""",NAD83,"92°53'14""",1332.44,128.65,125.78,128.44,127.11
HB-3,WG,4.65652E+14,HFC_1,HFC,9/11/2017,20170922,USGS,NA,7.18,0.149583333,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Buried aquifer,"46°56'52.84""",NAD83,"94°39'47.2""",1453.03,223.66,213.33,223.53,218.43
HT-115,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20170922,USGS,NA,13.6,0.283333333,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"46°56'52.81""",NAD83,"94°39'47.97""",1452,115.02,112.35,114.83,113.59
HT-140,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20170922,USGS,NA,40.5,0.84375,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"46°56'52.79""",NAD83,"94°39'47.84""",1452.39,140.44,137.77,140.25,139.01
HT-175,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20170922,USGS,NA,15.2,0.316666667,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"46°56'52.89""",NAD83,"94°39'47.87""",1452.04,175.14,172.47,174.95,173.71
HT-200,WG,4.65652E+14,HFC_1,HFC,9/12/2017,20170922,USGS,NA,11.6,0.241666667,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"46°56'52.9""",NAD83,"94°39'48.01""",1452.04,197.89,195.22,197.7,196.46
LFO2-A,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160520,USGS,NA,187,3.895833333,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Semi-Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.45,19.99,17.12,19.78,18.45
LFO2-B,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160520,USGS,NA,202,4.208333333,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.29,35.13,32.26,34.92,33.59
LFO2-C,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,20160520,USGS,NA,155,3.229166667,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.72,59.84,56.97,59.63,58.3
LFO2-D,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160519,USGS,NA,164,3.416666667,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.18,85.14,82.27,84.93,83.6
LFO2-E,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160519,USGS,NA,133,2.770833333,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"45°08'32""",NAD83,"94°32'12""",1139.64,113.82,110.95,113.61,112.28
LFO2-F,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,20160519,USGS,NA,48.1,1.002083333,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Confined Aquifer,"45°08'32""",NAD83,"94°32'12""",1139.47,162.42,149.56,159.18,154.37
MW-01,WG,4.65652E+14,HFC_1,HFC,9/11/2017,20170922,USGS,NA,4.48,0.093333333,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Surficial aquifer,"46°56'52.45""",NAD83,"94°39'47.79""",1453.54,85,80,85,82.5
Olivia-4,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171103,USGS,NA,2.87,0.059791667,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Buried aquifer,"44°46'29.65""",NAD83,"95°00'21.65""",1071,238,204,228,216
Olivia-5,WG,4.44639E+14,Ol_1,Olivia,10/24/2017,20171103,USGS,NA,7.89,0.164375,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Buried aquifer,"44°46'39.47""",NAD83,"95°00'21.78""",1075.01,226,228,238,233
OT-105,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171101,USGS,NA,1.69,0.035208333,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"44°46'30.64""",NAD83,"95°00'21.74""",1071.61,105.1,101.95,104.94,103.445
OT-13,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171114,USGS,NA,19.2,0.4,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Surficial aquifer,"44°46'30.34""",NAD83,"95°00'21.43""",1070.51,13.15,7.89,13.03,10.46
OT-145,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171101,USGS,NA,23,0.479166667,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"44°46'30.53""",NAD83,"95°00'21.75""",1071.44,144.26,141.15,144.13,142.64
OT-175,WG,4.4463E+14,Ol_1,Olivia,10/23/2017,20171101,USGS,NA,13.6,0.283333333,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1071.46,175.39,172.26,175.26,173.76
OT-20,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171114,USGS,NA,42.2,0.879166667,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1070.75,20.17,17.44,19.91,18.675
OT-60,WG,4.4463E+14,Ol_1,Olivia,10/24/2017,20171103,USGS,NA,13.2,0.275,IC022,0.02,USGSNWQL,Sulfate_ water_ filtered_ milligrams per liter,Sulfate,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1070.67,59.91,56.74,59.77,58.255
CWO1-A,WG,4.6411E+14,CW_1,Cromwell,5/13/2016,NA,USGS,NA,233.6,3.856612022,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1070.17,-30.32333333,-33.37333333,-30.51,-31.94166667
CWO1-B,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,NA,USGS,NA,186.4,3.062513661,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1069.775,-88.06333333,-91.13333333,-88.255,-89.69416667
CWO1-C,WG,4.6411E+14,CW_1,Cromwell,5/12/2016,NA,USGS,NA,231,3.803825137,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1069.38,-145.8033333,-148.8933333,-146,-147.4466667
CWO2-A,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,NA,USGS,NA,220.2,3.613224044,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1068.985,-203.5433333,-206.6533333,-203.745,-205.1991667
CWO2-B,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,NA,USGS,NA,258.8,4.290054645,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1068.59,-261.2833333,-264.4133333,-261.49,-262.9516667
CWO2-C,WG,4.64112E+14,CW_2,Cromwell,5/12/2016,NA,USGS,NA,228.2,3.761311475,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1068.195,-319.0233333,-322.1733333,-319.235,-320.7041667
CWO2-D,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,NA,USGS,NA,215.2,3.548196721,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1067.8,-376.7633333,-379.9333333,-376.98,-378.4566667
CWO2-E,WG,4.64112E+14,CW_2,Cromwell,5/13/2016,NA,USGS,NA,244.2,4.023606557,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1067.405,-434.5033333,-437.6933333,-434.725,-436.2091667
HB-3,WG,4.65652E+14,HFC_1,HFC,9/11/2017,NA,USGS,NA,233.5,3.836338798,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1067.01,-492.2433333,-495.4533333,-492.47,-493.9616667
HT-115,WG,4.65652E+14,HFC_1,HFC,9/12/2017,NA,USGS,NA,217.7,3.580710383,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1066.615,-549.9833333,-553.2133333,-550.215,-551.7141667
HT-140,WG,4.65652E+14,HFC_1,HFC,9/12/2017,NA,USGS,NA,282.3,4.666830601,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1066.22,-607.7233333,-610.9733333,-607.96,-609.4666667
HT-175,WG,4.65652E+14,HFC_1,HFC,9/12/2017,NA,USGS,NA,237.6,3.905245902,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1065.825,-665.4633333,-668.7333333,-665.705,-667.2191667
HT-200,WG,4.65652E+14,HFC_1,HFC,9/12/2017,NA,USGS,NA,226.3,3.714918033,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1065.43,-723.2033333,-726.4933333,-723.45,-724.9716667
LFO2-A,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,NA,USGS,NA,453.7,7.449562842,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1065.035,-780.9433333,-784.2533333,-781.195,-782.7241667
LFO2-B,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,NA,USGS,NA,314.6,5.167540984,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1064.64,-838.6833333,-842.0133333,-838.94,-840.4766667
LFO2-C,WG,4.50832E+14,LF_2,Litchfield,5/11/2016,NA,USGS,NA,364.7,5.990546448,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1064.245,-896.4233333,-899.7733333,-896.685,-898.2291667
LFO2-D,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,NA,USGS,NA,416.8,6.846338798,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.14""",NAD83,"95°00'21.42""",1063.85,-954.1633333,-957.5333333,-954.43,-955.9816667
LFO2-E,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,NA,USGS,NA,419.1,6.889125683,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'29.75""",NAD83,"95°00'21.42""",1063.455,-1011.903333,-1015.293333,-1012.175,-1013.734167
LFO2-F,WG,4.50832E+14,LF_2,Litchfield,5/10/2016,NA,USGS,NA,257.5,4.229781421,ASM01,NA,USGS-WRD,bicarbonate_carbonate,bicarbonate_carbonate,mg/l,USGS water quality data,Till,"44°46'30.43""",NAD83,"95°00'21.75""",1063.06,-1069.643333,-1073.053333,-1069.92,-1071.486667
